Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url,Original_Language_num,Genre_num
5/23/1991 0:00,Hudson Hawk,eddie hawkins called hudson hawk released years prison planning spend rest life honestly crazy mayflower couple blackmail steal works leonardo vinci refuses threaten kill friend tommy ,16.789,760,5.7,en,Action Adventure Comedy,https://image.tmdb.org/t/p/original/g1FJLGg9TaCzgjCmTJmONGIhTar.jpg,8,0.236549317
5/24/1991 0:00,Thelma & Louise,weekend getaway louise shoots tried rape thelma incriminating circumstances make thus cross country chase ensues fugitives women rediscover strength friendship surprising aspects personalities self strengths trying times ,20.323,2545,7.6,en,Drama Thriller Crime Adventure,https://image.tmdb.org/t/p/original/vbRAGLzbC75QfiKD1lKjmnQGuph.jpg,8,0.349138701
5/24/1991 0:00,Backdraft,firemen brothers brian stephen mccaffrey battle slights trying stop arsonist diabolical agenda torching chicago ,19.741,1058,6.7,en,Crime Drama Thriller,https://image.tmdb.org/t/p/original/bymJtYNIdiAiBR1LRetaJXbfryc.jpg,8,0.254524484
6/5/1991 0:00,Begotten,begotten creation myth brought life story violent death birth nature barren earth ,15.39,222,6,en,Fantasy Horror,https://image.tmdb.org/t/p/original/j6LJwe48xKnQVmHeL4DZUwuAd2c.jpg,8,0.129362132
6/7/1991 0:00,City Slickers,york businessmen decide take wild west vacation turns relaxing vacation envisioned ,19.408,582,6.4,en,Comedy Western,https://image.tmdb.org/t/p/original/9DVZpm9pQNB3M17cRo752zqUYhL.jpg,8,0.188961891
6/7/1991 0:00,Don't Tell Mom the Babysitter's Dead,ellen crandell teenager eagerly awaiting mother summer absence babysitter looks rambunctious younger siblings ellen party babysitter abruptly dies leaving crandells cash ellen finds sweet fashion lying experience sumã siblings wild discovers downside adulthood ,14.273,316,6.1,en,Comedy Family,https://image.tmdb.org/t/p/original/gx8EHsDkNxuY28qP2497QvUQMnL.jpg,8,0.189061467
6/14/1991 0:00,Robin Hood: Prince of Thieves,dastardly sheriff nottingham murders robin father legendary archer vows vengeance accomplish mission robin joins forces band exiled villagers comely maid marian battle evil sheriff reign terror ,27.332,2560,6.8,en,Action Adventure Drama Romance,https://image.tmdb.org/t/p/original/hbRnWUNJkKKVN5mkcuC5ooqjE4e.jpg,8,0.339987097
6/21/1991 0:00,The Rocketeer,stunt pilot comes prototype jetpack gives ability evil forces world want jetpack cost ,15.497,687,6.4,en,Action Adventure Science Fiction Family,https://image.tmdb.org/t/p/original/2tDFRESFwKww1LHRE8W1Exj9edH.jpg,8,0.386154217
6/28/1991 0:00,The Naked Gun 2Â½: The Smell of Fear,bumbling lieutenant frank drebin foil boys energy industry intend suppress technology business ,26.922,1634,6.8,en,Comedy Crime,https://image.tmdb.org/t/p/original/v9niLQWVzVPB1cP1ThNdEaLZG1Q.jpg,8,0.175426752
7/3/1991 0:00,Terminator 2: Judgment Day,nearly years passed sarah connor targeted termination cyborg future john future leader resistance target newer deadly terminator resistance managed send protector attempt john mother sarah ,60.467,10152,8.1,en,Action Thriller Science Fiction,https://image.tmdb.org/t/p/original/weVXMD5QBGeQil4HEATZqAkXeEc.jpg,8,0.278273301
7/3/1991 0:00,Problem Child 2,junior father move cold river mortville junior becomes threatened desire date find mother junior sabotages dates ,19.161,459,5.9,en,Comedy,https://image.tmdb.org/t/p/original/npr7j2HuRgvsKrXLIxIiXevTH8A.jpg,8,0.094316053
7/5/1991 0:00,Crazy Safari,guys magician transporting ancient chinese vampire controlled series yellow tapes ancestor flying africa plane stalls places land village tribe gods crazy ,18.345,29,5,cn,Action Comedy,https://image.tmdb.org/t/p/original/eV50NCjkJpoX5rkrDZTpF5ByRxI.jpg,3,0.141935101
7/12/1991 0:00,Boyz n the Hood,boyz hood popular successful film social criticism john singleton conditions south central angeles teenagers involved fights drug dealing daily basis ,52.687,1406,7.6,en,Drama Crime,https://image.tmdb.org/t/p/original/v4ox4aSCNT5vyLXl4Q71JiWwCXW.jpg,8,0.173045769
7/18/1991 0:00,Fight Back to School,star chow kicked royal hong kong police elite duties unit senior officer decides give chance star undercover student edinburgh school hong kong recover senior officer missing revolver ,14.13,68,6.6,cn,Action Comedy,https://image.tmdb.org/t/p/original/wIp4g7nd7cIxRVGVoOJseeiy8yP.jpg,3,0.141935101
7/19/1991 0:00,Omen IV: The Awakening,damien thorn dead prophecy reborn girl named delia adopted attorneys gene karen york karen realizes baby born suspicious circumstances hires private investigator find delia parents series bizarre accidents occur karen begins suspect conspiring unravels truth baby ,19.451,155,5.2,en,Horror TV Movie,https://image.tmdb.org/t/p/original/hoG6DyuptlnGbXkVlnpXc4LIMkM.jpg,8,0.176678115
7/19/1991 0:00,Bill & Ted's Bogus Journey,amiable slackers bill roped fantastical adventure nomolos villain future sends evil robot duplicates lads terminate replace robot doubles actually succeed killing bill determined escape afterlife challenging grim reaper series games order return land ,14.646,911,6.3,en,Adventure Comedy Science Fiction,https://image.tmdb.org/t/p/original/tldtDfLnPFOtTWp758EmIP2Hbz5.jpg,8,0.338105808
7/19/1991 0:00,Dutch,know girlfriend volunteers pick prep school learn nicest ,13.386,160,6.4,en,Comedy,https://image.tmdb.org/t/p/original/diBUesRJ2w6ilSbAizpk062Sajh.jpg,8,0.094316053
7/20/1991 0:00,Dragon Ball Z: Cooler's Revenge,defeating frieza goku returns earth goes camping trip gohan krillin normal cooler frieza brother sends henchmen goku fight ensues heroes cooler transforms fourth stage evolution edge fight goku transforms super saiyan ,103.923,464,6.9,ja,Action Animation Science Fiction,https://image.tmdb.org/t/p/original/ywZWtNVTO7rGSFvOAPWpdmZlO6k.jpg,21,0.27853767
7/20/1991 0:00,Only Yesterday,taeko years unmarried lived life tokyo decides visit family countryside begins reconnect forgotten longings lyrical switches taeko contemplates life wonders dreams childhood self ,21.634,751,7.3,ja,Animation Drama Romance,https://image.tmdb.org/t/p/original/tOSnFE9e82iH3ZAzSTtuOkBsabJ.jpg,21,0.279496917
7/27/1991 0:00,A Brighter Summer Day,experiences love friendships injustices growing taiwan ,17.566,183,8.3,zh,Crime Drama Romance,https://image.tmdb.org/t/p/original/rDZ2mNQkZrnSzHPLQ7SzhzgCSoj.jpg,42,0.278864532
7/31/1991 0:00,Double Impact,jean claude damme plays dual role alex chad twins separated death parents chad raised family retainer paris alex becomes petty crook hong kong seeing picture alex chad rejoins convinces rival hong kong killed parents alex suspicious chad especially comes girlfriend ,38.741,763,6,en,Thriller Action Crime Drama,https://image.tmdb.org/t/p/original/tmzwvSqoMC37Tgqwj4mA2dHNSmw.jpg,8,0.302143532
7/31/1991 0:00,Hot Shots!,recruited join secret mission force renegade pilot finds coping incompetent admiral carefully selected squadron flyers inept half blind ,24.955,1629,6.5,en,Action Comedy War,https://image.tmdb.org/t/p/original/hoPS7RSvdZhZhWf28OfP2IZ0cb3.jpg,8,0.223678185
8/1/1991 0:00,Barton Fink,renowned york playwright enticed california write movies discovers hellish truth hollywood ,13.744,1271,7.5,en,Comedy Drama,https://image.tmdb.org/t/p/original/846d8FclibtOIoUW7PxpT0nCG4C.jpg,8,0.186251123
8/2/1991 0:00,Return to the Blue Lagoon,sequel classic children stranded beautiful island south pacific adults guide make simple life eventually become tanned teenagers love ,35.432,707,6,en,Adventure Drama,https://image.tmdb.org/t/p/original/jhUTLuPgc3Qcvr5xtji8oiWSfYy.jpg,8,0.186549287
8/9/1991 0:00,Bingo,bingo runaway circus leash chuckie life bingo become friends canine comedy featuring doggy disguises skateboarding pinball prison chuckie parents cindy williams david rasche moving house thousand miles bingo allowed join chuckie bingo determination reunited ,20.559,77,5,en,Action Adventure Comedy Family,https://image.tmdb.org/t/p/original/3fNoKmWozT3WHaPibyfQbiZpxD1.jpg,8,0.331294731
8/15/1991 0:00,Once Upon a Time in China,late century canton martial arts film depicts stance taken legendary martial arts hero wong hung foreign forces plundering china ,18.449,301,7.2,cn,Action Drama,https://image.tmdb.org/t/p/original/z0ATIuW043A0CljK0xKb94WxQEV.jpg,3,0.139554118
8/16/1991 0:00,Urusei Yatsura: Always My Darling,lupika alien princess love tofu seller make love announce love obviously fears social taboo tofu vendor marrying princess love potion temple legend person obtain love potion lecherous universe turns ataru moroboshi lupika kidnaps ataru make potion friends search ataru ,20.643,9,5.7,ja,Action Adventure Animation Comedy Romance,https://image.tmdb.org/t/p/original/dqnoZEmrgJOESQIjLKrWQ5vmELA.jpg,21,0.424111164
8/23/1991 0:00,Showdown in Little Tokyo,japanese upbringing chris kenner police officer assigned tokyo section angeles kenner partnered johnny murata japanese touch roots differences excel martial arts utilize formidable skills yoshida vicious yakuza drug dealer ties kenner ,34.22,333,6.3,en,Action,https://image.tmdb.org/t/p/original/dqWBvqgaaeTJF9iCj3BYiJAwm7M.jpg,8,0.047619048
8/23/1991 0:00,Harley Davidson and the Marlboro Man,lawless future renegade biker harley davidson surly cowboy buddy marlboro learn corrupt bank foreclose friend further expanding empire harley marlboro decide help robbing crooked bank accidentally filch drug shipment find criminal financiers rugged action adventure ,20.731,300,6.3,en,Action Thriller,https://image.tmdb.org/t/p/original/4WRdrjHyLuHRwep2UJWBoIn6KTW.jpg,8,0.129097763
8/23/1991 0:00,The Death of the Incredible Hulk,critical experiment david banner hulk sabotages laboratory banner falls love jasmin performs missions sister held hostage jasmin superiors banner jasmin escape enemy agents rebuild lives hulk ,20.191,57,5,en,Action Drama Science Fiction TV Movie,https://image.tmdb.org/t/p/original/6q6CviMLR97ssODmKhxgyxQuoYp.jpg,8,0.417788723
8/30/1991 0:00,Child's Play 3,eight years passed events film chucky resurrected seeks revenge andy former owner teenager enrolled military school ,46.761,1137,5.9,en,Horror Thriller,https://image.tmdb.org/t/p/original/6toMk9OCuDYEEf733Bzlq3yiw3z.jpg,8,0.129097763
9/4/1991 0:00,La Belle Noiseuse,former famous painter frenhofer lives quietly wife countryside residence french provence young artist nicolas visits girlfriend marianne frenhofer decides start work painting stopped belle noiseuse wants marianne model ,15.68,125,7.3,fr,Drama,https://image.tmdb.org/t/p/original/h0I3HXJsNQ1pItvViRCKCDsLObD.jpg,14,0.09193507
9/5/1991 0:00,Freddy's Dead: The Final Nightmare,thought safe sleep freddy krueger returns sixth installment nightmare street films psychologist maggie burroughs tormented recurring nightmares meets patient horrific dreams quest answers leads house street nightmares become reality ,41.054,958,5.3,en,Horror Thriller,https://image.tmdb.org/t/p/original/x4UxJS5mt4NOUrzQgX8fCys0908.jpg,8,0.129097763
9/6/1991 0:00,Little Man Tate,dede sole parent trying bring fred discovered fred genius determined ensure fred opportunities taken advantage people forget extremely powerful intellect harboured body emotions child ,14.848,191,6.5,en,Drama Family,https://image.tmdb.org/t/p/original/bVj97TGirraAQFsefm7Ss5cVuXW.jpg,8,0.186680484
9/14/1991 0:00,Roujin Z,takazawa elderly invalid cared haruko young nursing student chosen japanese ministry welfare test computerized hospital robotic features allegedly displays efficiency skills human nurse haruko mistrusts machine unable consider human feelings ,14.258,66,6.4,ja,Animation Drama Science Fiction,https://image.tmdb.org/t/p/original/kpJBEfjC9l7BFhmmGPmkNB8gl6h.jpg,21,0.322853693
9/30/1991 0:00,The Man in the Moon,maureen trant younger sibling dani share strong connection local court foster threatens throw bond balance dani court meet flirtatious rapport meets maureen falls begin passionate affair couple keep love hidden dani learns truth disavowing sister heartbreaking accident reunites girls ,13.771,219,7.3,en,Drama Family Romance,https://image.tmdb.org/t/p/original/57r0TXlqV5GIn4h0Htgh81OZou9.jpg,8,0.292499247
10/4/1991 0:00,Ricochet,attorney terrorized criminal years ,13.841,213,6.1,en,Crime Thriller Action,https://image.tmdb.org/t/p/original/5isHYEcUY0nE90uMhkGrs1nnal.jpg,8,0.210208462
10/5/1991 0:00,Riki-Oh: The Story of Ricky,ricky incarcerated futuristic prison ultra violence means survival corrupt sadistic system battle literally feared gang undergo multiple tortures facing governor goriest climaxes seen ,15.646,200,6.7,cn,Comedy Action Thriller,https://image.tmdb.org/t/p/original/q6O9Y3tQdc3uvlIbY3JtKSdoT8F.jpg,3,0.223413816
10/22/1991 0:00,Beauty and the Beast,follow adventures belle bright young woman finds castle prince turned mysterious beast help castle enchanted staff belle learns lesson beauty comes ,109.649,8280,7.7,en,Romance Family Animation Fantasy,https://image.tmdb.org/t/p/original/7oCAPOphDKpIaxTrnukmDrZ8XKD.jpg,8,0.364050346
10/24/1991 0:00,Curly Sue,bill dancer young companion curly classic homeless folks hearts gold scams aimed turning profit getting scam rich beautiful grey ellison believing backed mercedes bill hoping free meal grey touched objections snotty fiancã ,16.273,429,6.4,en,Comedy Drama Family Romance,https://image.tmdb.org/t/p/original/8vRZj1yjiZhagcJfEMaBWbqmvX0.jpg,8,0.3868153
11/1/1991 0:00,The People Under the Stairs,young poindexter fool williams breaks creepy immense family greedy uncaring landlords uncovers disturbing scenario stairs ,14.965,476,6.6,en,Comedy Drama Horror Mystery Thriller,https://image.tmdb.org/t/p/original/63oTveDo5aMRNPpHalE0V1jAAse.jpg,8,0.362967934
11/15/1991 0:00,The Raffle,francesca incredibly beautiful woman death husband discovers unfaithfulness huge amount debts cesare francesca friend solicitor advice francesca starts selling goods house jewels furs finally yacht able survive rest year prospects future attempt fails finally makes decision lottery prize ,16.995,100,7.1,it,Drama,https://image.tmdb.org/t/p/original/mRW0dNmmNIUqeUXWtGKBCudbJdy.jpg,20,0.09193507
11/15/1991 0:00,Cape Fear,bowden town corporate attorney cady tattooed cigar smoking bible quoting psychotic rapist common fourteen years defender assigned cady rape trial made serious error document illiterate client gotten acquitted cagey cady released intends teach bowden family thing loss ,16.038,2548,7.2,en,Thriller Crime,https://image.tmdb.org/t/p/original/ws4mrtndzgSH5QGCamOFAgilr2R.jpg,8,0.162589414
11/21/1991 0:00,An American Tail: Fievel Goes West,time mousekewitz settled america find problems threat cats makes eager west promised mice cats live peace unfortunately making claim oily artist named waul intent sinister plan ,35.266,588,6.3,en,Adventure Animation Family Western,https://image.tmdb.org/t/p/original/cImuS7FE9MHT5vnwIHGx1Ryh0K1.jpg,8,0.365748553
11/22/1991 0:00,The Addams Family,claiming lost uncle fester reappears years lost family plans celebration wake dead kids barely time warm electric chair morticia begins suspect fester fraud recall details fester life ,49.114,3545,7,en,Comedy Fantasy,https://image.tmdb.org/t/p/original/qFf8anju5f2epI0my8RdwwIXFIP.jpg,8,0.176059137
11/22/1991 0:00,Close My Eyes,years tension richard begins sexual relationship sister natalie married relationship proves dangerously obsessional ,16.666,44,6.1,en,Drama Romance,https://image.tmdb.org/t/p/original/HVMvJ3TzjbNOqlOILZWPkfZXt0.jpg,8,0.197753833
11/27/1991 0:00,My Girl,vada sultenfuss obsessed death mother dead father runs funeral parlor love teacher joins poetry class summer impress thomas friend allergic sticks vada hangups vada father hires shelly begins fall things take turn worse ,19.2,1639,7.4,en,Comedy Drama,https://image.tmdb.org/t/p/original/qyJJNHteA7BUwQSey05t7qP4vRV.jpg,8,0.186251123
11/30/1991 0:00,Sex and Zen,recently married scholar goes quest knowledge people wives based philosophical differences sack monk encounters flying thief agrees help find women attains penis horse scholar surgeon attach said unit running mission find obstacles lifestyle jealous husbands treacherous females ,35.699,41,5.5,cn,Drama Adventure Comedy Romance,https://image.tmdb.org/t/p/original/tQMf9iPeCsrkeSXxkNKtY1R82mx.jpg,3,0.386684102
